Name,Granger,CCM,CCA,DTW,CCF,Spearman,Pearson,log2FoldChange,Cluster,Description,Description_Score
aaaD,0.09097355518898155,0.6893918163186337,0.5505970052366792,11.544152361789555,-0.5819099616293719,-0.6512315270935959,-0.5505970052366793,1.4339622641509435,7.0,DLP12 prophage; protein AaaD,0.0
aaaE,0.9719590167761838,0.7323993903497179,0.6346068562286412,10.596236573138064,-0.6296050226262759,-0.7565903161367588,-0.6346068562286412,0.9272030651340997,6.0,phage terminase,0.2
aaeA,0.11164524343999621,0.1685280125310384,0.07685014890625376,5.262899296479914,-0.3051269780161722,-0.2162561576354679,-0.07685014890625375,1.369928400954654,2.0,aromatic carboxylic acid efflux pump membrane fusion protein,0.0
aaeB,0.01639667368500011,0.3288184227075202,0.04608346384316785,4.913506255942449,-0.20100463479294606,0.2501540832195589,0.04608346384316786,1.2584097859327217,2.0,aromatic carboxylic acid efflux pump subunit AaeB,0.0
aaeR,0.00012240364273018717,0.690987276146111,0.383950061475538,3.242016446825349,0.08606841813328615,0.264039408866995,0.383950061475538,1.2071571267263093,4.0,DNA-binding transcriptional activator AaeR,0.0
aaeX,0.020185008978240517,0.5547222107585509,0.35087949982566913,4.625637457073587,0.11769079371990952,0.32857142857142846,0.3508794998256691,2.434389140271493,4.0,DUF1656 domain-containing protein AaeX,0.0
aas,0.11497692776034263,0.7623974934187354,0.7839222614431762,2.8337022436953148,0.41583740917616974,0.8355708894516254,0.7839222614431761,1.0444203683640303,1.0,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,0.2
aat,0.24266199291916668,0.48818903897489047,0.34994363206384765,3.526939363301044,0.27641926009186885,0.6985221674876845,0.34994363206384765,1.3067649028801074,4.0,leucyl/phenylalanyl-tRNA&mdash;protein transferase,0.2
abgA,0.08872351597430768,0.39384207945875904,0.2174695568213872,5.3344863875586315,0.13291364483089702,0.48922281440180665,0.2174695568213872,1.00990099009901,4.0,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A,0.2
abgB,0.397215092921698,0.7243491067760378,0.5954498274211426,9.636097147250746,-0.5796652493729193,-0.6689655172413792,-0.5954498274211427,1.11244019138756,7.0,<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B,0.2
abgR,0.6146754409512829,0.4001042229590218,0.20836146000444666,4.374604259369354,0.42363654722969635,0.7073891625615761,0.20836146000444666,1.1856368563685638,3.0,putative LysR-type DNA-binding transcriptional regulator AbgR,0.0
abgT,0.020088591677084516,0.3638444593025346,0.35491670109646084,3.546653668385254,0.23087014166607883,0.6364532019704431,0.35491670109646073,1.007159904534606,4.0,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,0.0
abrB,0.0005838847053682954,0.8872849749362093,0.7547541413421428,1.7157062110854726,0.39656019432514583,0.45665024630541856,0.7547541413421429,1.0144425187752744,1.0,putative regulator,0.0
accA,0.0032808371268811492,0.6861067776402502,0.5004695450102491,2.1235936014365753,0.20727893512057594,0.7162561576354678,0.5004695450102491,1.1153134019495725,4.0,acetyl-CoA carboxyltransferase subunit &alpha;,0.2
accB,0.06271921619235257,0.42585056698275686,0.3861907845950259,3.1395036603410755,0.13099448932521204,0.45862068965517233,0.38619078459502576,1.0190834334576435,4.0,biotin carboxyl carrier protein,0.0
accC,0.010504928657830663,0.50393033082321,0.4538646479633537,2.489141801592949,0.19902244298277183,0.27586206896551724,0.45386464796335374,0.8615728868602659,4.0,biotin carboxylase,0.2
accD,0.011182703495536133,0.7596382489743336,0.49803717440782247,2.597723811146576,0.26641032515565377,0.4970443349753693,0.4980371744078225,1.0904975696634633,4.0,acetyl-CoA carboxyltransferase subunit &beta;,0.2
aceA,0.04685060176887086,0.7841404247366812,0.4321167351750947,3.780850089997821,0.2800850435943507,0.721182266009852,0.43211673517509464,1.1583907058110015,4.0,isocitrate lyase,0.2
aceB,0.055732627931157366,0.8253807298010637,0.5876288544693468,2.4004320967650488,0.407776093084575,0.7438423645320195,0.5876288544693468,1.1058720544141025,4.0,malate synthase A,0.2
aceE,0.026364347317013374,0.9465681054282451,0.817527570676911,1.6907257353754657,0.7100549685014639,0.5600985221674876,0.8175275706769108,0.7842736023043487,1.0,pyruvate dehydrogenase E1 component,0.2
aceF,0.10862301046785888,0.9340925325907831,0.7638997798643198,1.692167053482796,0.771420038437793,0.5019704433497535,0.7638997798643196,0.7517219800162707,1.0,dihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // <i>S</i>-acetyldihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // lipoyl-[pyruvate dehydrogenase E2 sbunit] // pyruvate dehydrogenase E2 subunit,0.2
aceK,0.00034906782563308365,0.6900331489823325,0.3962318194402849,3.4107144044807653,0.14802037244624128,0.693103448275862,0.396231819440285,1.266891078239732,4.0,isocitrate dehydrogenase kinase/phosphatase,0.2
ackA,0.02036208200548472,0.48297037425096867,0.41289711128151974,8.216415674588182,-0.25581519369593914,0.02068965517241379,-0.41289711128151974,1.0339485512097162,0.0,acetate kinase,0.2
acnA,0.3130625199221831,0.9077876080581536,0.3214144091570688,7.376518654591769,-0.24594309765349245,-0.22315270935960585,-0.32141440915706876,0.9179137398622281,0.0,aconitate hydratase 1,0.2
acnB,2.708387987590499e-05,0.9679188606825225,0.8822416157074551,2.168861508443328,0.6106284030738218,0.7620689655172412,0.882241615707455,0.8744763041361767,1.0,AcnB,0.0
acpH,0.0127394516000995,0.3733418942180213,0.37401450923275786,3.836722316294226,0.09889762111075544,0.3620689655172413,0.37401450923275786,0.9792323869610936,4.0,acyl carrier protein phosphodiesterase,0.2
