"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BC332_24630_mrna",43.0694485774082,0.510370644791831,0.490419789545341,1.04068117900582,0.298023541072877,0.475251781658168
"BC332_28045_mrna",1024.05036219115,-0.0973831838635585,0.15596777934335,-0.624380139754235,0.532377964763885,0.697599198442493
"BC332_26522_mrna",5.98951039824293,0.624383351179304,0.850691259211516,0.733971748761154,0.462965956479095,0.63700202440274
"BC332_20665_mrna",47.4275033338024,0.386839242311201,0.381741675628702,1.0133534455574,0.310891367682127,0.489835027653424
"BC332_18933_mrna",0.588908970976136,-2.62255591091835,3.76290084559207,-0.696950575774661,0.485833724906598,NA
"BC332_02545_mrna",56.9008090911052,-0.388904456461548,0.338086394932055,-1.15031087405841,0.250015853673943,0.421226357410083
"BC332_06096_mrna",234.493536979033,-1.59226036230675,0.286602454011497,-5.5556410631532,2.76594733126063e-08,4.00477023578608e-07
"BC332_32874_mrna",4118.70612209947,0.432859481599298,0.184513640121042,2.34594841506211,0.0189787339406939,0.0596206937939563
"BC332_09241_mrna",925.183325598246,-0.26758506493459,0.164451872733707,-1.62713297505517,0.103708858973307,0.223971266151719
"BC332_16236_mrna",618.825708682644,0.219782744557991,0.164938917793009,1.33250992245389,0.182692683101421,0.338615259314618
"BC332_25027_mrna",34.5670668144382,-0.14501149599624,0.405449123284006,-0.357656454703106,0.720600424341759,0.835626700020901
"BC332_32511_mrna",626.571827405204,0.24917826680297,0.233293195047057,1.06809059198109,0.285479649246942,0.462210682793493
"BC332_05363_mrna",78.1876141784882,-1.04830055246712,0.333606553124809,-3.14232602042122,0.00167611290745711,0.00783051525456931
"BC332_33234_mrna",454.297725700066,0.72193971997952,0.167370667343421,4.31341842294387,1.60749470892068e-05,0.0001313972137249
"BC332_34447_mrna",1281.12198542259,-0.704541708041373,0.218999844085302,-3.2170877152175,0.00129499000348598,0.00626978683563555
"BC332_30765_mrna",1361.20855316852,0.125360377270013,0.186900332042787,0.670733839259924,0.502390101565177,0.672199715579327
"BC332_12368_mrna",22.0613242337561,0.188217517261711,0.596205961151565,0.31569210897887,0.752236216764125,0.855206848107716
"BC332_12440_mrna",84.4026898245152,-0.106341010572664,0.430794445500099,-0.246848611172819,0.805025388040883,0.889314892930661
"BC332_11632_mrna",342.195482502472,1.25888171375804,0.30192406325211,4.16953090852802,3.0522722136351e-05,0.000233738988093941
"BC332_13300_mrna",1.02972769548577,2.36707895685448,2.20214883725294,1.0748950828443,0.282421703707897,NA
"BC332_23248_mrna",418.570988814624,0.727237028514296,0.171741782656978,4.23447932857908,2.2908185502476e-05,0.000181053659212673
